Port Name,Administrative Approach Rank_2020,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Year,,Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Year
PIRAEUS,93,-0.859,89,23,Greece,2020,,PIRAEUS,101,43.772,82,20.096,Greece,2021
POINT LISAS PORTS,165,-0.182,177,2,the Republic of Croatia,2020,,PLOČE,173,13.197,181,4.675,the Republic of Croatia,2021
POINTE−A−PITRE,147,-0.319,113,14,Trinidad,2020,,POINT LISAS PORTS,295,-28.104,301,-13.433,Trinidad,2021
POINTE-NOIRE,362,-320.281,362,-110.337,France,2020,,POINTE-À-PITRE,109,40.162,107,15.702,France,2021
POINTE−NOIRE,346,5.832,345,-128,the Republic of the Congo,2020,,POINTE-NOIRE,362,-320.281,362,-110.337,the Republic of the Congo,2021
PORT AKDENIZ,96,-0.82,154,6,Turkey,2020,,PORT AKDENIZ,152,17.753,139,8.467,Turkey,2021
PORT BOTANY,337,3.907,327,-63,Australia,2020,,PORT BOTANY,324,-63.908,321,-25.565,Australia,2021
PORT BRONKA,132,-0.454,152,7,Russia,2020,,PORT BRONKA,138,22.021,131,9.559,Russia,2021
PORT ELIZABETH,348,7.659,348,-183,South Africa,2020,,PORT ELIZABETH,312,-46.416,317,-23.885,South Africa,2021
PORT EVERGLADES,208,0.213,147,8,USA,2020,,PORT EVERGLADES,116,33.709,102,16.769,United States of America,2021
PORT FREEPORT,182,-0.008,193,0,Malasyia,2020,,PORT KLANG,69,59.038,59,28.629,Malasyia,2021
PORT KLANG,14,-3.334,14,78,Mauritius,2020,,PORT LOUIS,323,-61.778,329,-30.575,Mauritius,2021
PORT LOUIS,344,5.501,346,-175,Spain,2020,,PORT OF SPAIN,254,-5.624,252,-2.258,Spain,2021
PORT MORESBY,217,0.307,211,-4,USA,2020,,PORT OF VIRGINIA,23,118.295,27,50.444,United States of America,2021
PORT OF SPAIN,260,0.775,248,-11,France,2020,,PORT RÉUNION,333,-85.474,331,-33.187,France,2021
PORT OF VIRGINIA,85,-1.044,110,15,Egypt,2020,,PORT SAID,15,141.336,13,63.39,Egypt,2021
PORT REUNION,334,3.302,340,-89,USA,2020,,PORT TAMPA BAY,64,64.318,66,24.194,United States of America,2021
PORT SAID,58,-1.652,70,29,USA,2020,,PORT VICTORIA,289,-25.449,298,-12.337,United States of America,2021
PORT VICTORIA,292,1.457,299,-28,the Republic of Haiti,2020,,PORT-AU-PRINCE,178,12.047,175,4.921,the Republic of Haiti,2021
POSORJA,77,-1.192,126,10,Ecuador,2020,,POSORJA,66,61.465,65,24.225,Ecuador,2021
POTI,215,0.278,209,-3,Georgia,2020,,POTI,226,1.404,213,1.537,Georgia,2021
PRINCE RUPERT,330,2.979,323,-56,Canada,2020,,PRINCE RUPERT,344,-114.287,339,-44.345,Canada,2021
PUERTO BARRIOS,103,-0.731,122,11,Guatemala,2020,,PUERTO BARRIOS,170,13.762,196,3.154,Guatemala,2021
PUERTO BOLIVAR (ECUADOR),141,-0.347,155,6,Ecuador,2020,,PUERTO BOLIVAR (ECUADOR),156,16.72,153,6.649,Ecuador,2021
PUERTO CABELLO,309,1.829,307,-34,Venezuela,2020,,PUERTO CABELLO,287,-23.284,284,-9.38,Venezuela,2021
PUERTO CORTES,131,-0.468,149,7,Honduras,2020,,PUERTO CORTES,144,20.098,141,8.141,Honduras,2021
PUERTO LIMON,94,-0.858,106,16,Costa Rica,2020,,PUERTO LIMON,86,47.807,80,20.312,Costa Rica,2021
PUERTO PROGRESO,259,0.75,236,-8,Mexico,2020,,PUERTO PROGRESO,200,7.525,205,2.197,Mexico,2021
PUERTO QUETZAL,154,-0.269,174,2,Guatemala,2020,,PUERTO QUETZAL,110,36.422,134,9.34,Guatemala,2021
QINGDAO,8,-3.86,3,102,Libya,2020,,QASR AHMED,282,-18.283,288,-9.944,Libya,2021
QINZHOU,127,-0.523,148,8,China,2020,,QINGDAO,42,95.043,33,44.227,China,2021
QUY NHON,79,-1.163,104,16,China,2020,,QINZHOU,247,-3.362,244,-0.929,China,2021
RAUMA,229,0.439,208,-3,Vietnam,2020,,QUY NHON,154,17.144,146,7.64,Vietnam,2021
RAVENNA,179,-0.025,176,2,Tunisia,2020,,RADES,237,-0.821,232,-0.164,Tunisia,2021
RIGA,235,0.482,223,-6,Finland,2020,,RAUMA,201,7.474,210,1.793,Finland,2021
RIJEKA,312,1.974,279,-20,Italy,2020,,RAVENNA,187,10.047,188,4.056,Italy,2021
RIO DE JANEIRO,199,0.126,309,-35,Latvia,2020,,RIGA,214,3.903,207,2.089,Latvia,2021
RIO GRANDE (BRAZIL),74,-1.332,47,42,Croatia,2020,,RIJEKA,190,9.469,200,2.632,Croatia,2021
RIO HAINA,146,-0.322,160,5,Brazil,2020,,RIO DE JANEIRO,93,45.956,83,20.056,Brazil,2021
ROTTERDAM,116,-0.611,90,22,Brazil,2020,,RIO GRANDE (BRAZIL),97,44.636,91,19.297,Brazil,2021
SAIGON,137,-0.375,151,7,Dominican Republic,2020,,RIO HAINA,158,16.156,155,6.621,Dominican Republic,2021
SAINT JOHN,211,0.241,251,-12,the Netherlands,2020,,ROTTERDAM,291,-26.82,300,-13.017,the Netherlands,2021
SALALAH,6,-4.531,9,87,Vietnam,2020,,SAIGON,140,21.08,125,10.436,Vietnam,2021
SALERNO,174,-0.08,168,3,Canada,2020,,SAINT JOHN,240,-1.73,235,-0.325,Canada,2021
SALVADOR,43,-2.051,55,35,Oman,2020,,SALALAH,2,197.675,2,87.372,Oman,2021
SAMSUN,297,1.502,280,-20,Italy,2020,,SALERNO,192,9.315,195,3.237,Italy,2021
SAN ANTONIO,159,-0.218,173,3,Brazil,2020,,SALVADOR,112,36.123,130,9.682,Brazil,2021
SAN JUAN,148,-0.303,164,5,Turkey,2020,,SAMSUN,248,-3.711,253,-2.272,Turkey,2021
SAN PEDRO (COTE D'IVOIRE),319,2.267,293,-27,Chile,2020,,SAN ANTONIO,320,-55.808,320,-25.395,Chile,2021
SAN VICENTE,221,0.361,226,-7,Capital of Puerto Rico,2020,,SAN JUAN,157,16.477,143,8.022,Capital of Puerto Rico,2021
SANTA CRUZ DE TENERIFE,88,-0.97,95,19,Côte d’Ivoire,2020,,SAN PEDRO (COTE D'IVOIRE),318,-53.819,315,-21.804,Côte d’Ivoire,2021
SANTA MARTA,120,-0.589,137,9,USA,2020,,SAN VICENTE,166,14.418,162,6.011,United States of America,2021
SANTO TOMAS DE CASTILLA,203,0.185,201,-2,Spain,2020,,SANTA CRUZ DE TENERIFE,71,58.835,88,19.591,Spain,2021
SANTOS,70,-1.376,72,28,Colombia,2020,,SANTA MARTA,143,20.317,137,8.715,Colombia,2021
SAVANNAH,279,1.158,96,18,Guatemala,2020,,SANTO TOMAS DE CASTILLA,273,-13.292,275,-6.427,Guatemala,2021
SAVANNAH,367,-464.721,367,-217.103,Brazil,2020,,SANTOS,188,9.866,147,7.59,Brazil,2021
SAVONA−VADO,310,1.897,314,-40,USA,2020,,SAVANNAH,367,-464.721,367,-217.103,United States of America,2021
SEATTLE,236,0.487,263,-16,Italy,2020,,SAVONA-VADO,94,45.9,111,14.739,Italy,2021
SEPETIBA,73,-1.338,84,24,USA,2020,,SEATTLE,336,-92.888,322,-25.648,United States of America,2021
SHANGHAI,63,-1.532,49,41,Brazil,2020,,SEPETIBA,123,28.257,119,11.902,Brazil,2021
SHANTOU,91,-0.935,117,12,China,2020,,SHANGHAI,316,-51.827,318,-24.039,China,2021
SHEKOU,9,-3.726,5,94,China,2020,,SHANTOU,165,14.432,151,6.977,China,2021
SHIBUSHI,135,-0.382,166,4,United Arab Emirates,2020,,SHARJAH,155,16.731,148,7.57,United Arab Emirates,2021
SHIMIZU,12,-3.361,24,59,China,2020,,SHEKOU,16,137.844,17,58.312,China,2021
SHUAIBA,149,-0.301,228,-7,Japan,2020,,SHIMIZU,41,96.454,45,35.895,Japan,2021
SHUWAIKH,160,-0.216,199,-1,Kuwait,2020,,SHUAIBA,185,10.77,177,4.853,Kuwait,2021
SIAM SEAPORT,115,-0.613,136,9,Kuwait,2020,,SHUWAIKH,189,9.587,179,4.729,Kuwait,2021
SINES,18,-3.183,28,56,Thailand,2020,,SIAM SEAPORT,103,43.527,100,16.867,Thailand,2021
SINGAPORE,15,-3.279,12,83,Portugal,2020,,SINES,30,105.359,35,42.93,Portugal,2021
SOHAR,71,-1.375,69,29,Singapore,2020,,SINGAPORE,31,103.562,31,47.816,Singapore,2021
SOKHNA,293,1.459,352,-66.771,Oman,2020,,SOHAR,47,89.717,47,35.096,Oman,2021
SOKHNA,353,-158.457,321,-55,Egypt,2020,,SOKHNA,353,-158.457,352,-66.771,Egypt,2021
SOUTHAMPTON,290,1.404,317,-45,United Kingdom,2020,,SOUTHAMPTON,346,-120.369,348,-55.49,United Kingdom,2021
ST PETERSBURG,304,1.719,258,-14,Russia,2020,,ST. PETERSBURG,256,-6.294,255,-2.789,Russia,2021
STOCKHOLM,267,0.915,253,-13,Brazil,2020,,SUAPE,280,-17.478,287,-9.607,Brazil,2021
SUAPE,81,-1.129,130,10,Philippines,2020,,SUBIC BAY,181,11.622,178,4.82,Philippines,2021
TACOMA,335,3.628,329,-66,USA,2020,,TACOMA,345,-119.152,341,-45.529,United States of America,2021
TAICHUNG,97,-0.814,146,8,Taiwan,2020,,TAICHUNG,125,27.616,135,9.315,Taiwan,2021
"TAIPEI, TAIWAN, CHINA",30,-2.681,16,75,Libya,2020,,TAKORADI,281,-18.202,290,-11.023,Libya,2021
TAKORADI,254,0.683,235,-8,USA,2020,,TAMPA,61,67.841,62,25.486,United States of America,2021
TAMPA,226,0.411,200,-1,Morocco,2020,,TANGER-MEDITERRANEAN,6,178.096,6,80.411,Morocco,2021
TANGER MEDITERRANEAN,27,-2.769,15,76,Indonesia,2020,,TANJUNG EMAS,153,17.284,144,7.855,Indonesia,2021
TANJUNG EMAS,133,-0.433,143,8,Malasyia,2020,,TANJUNG PELEPAS,18,131.424,16,59.83,Malasyia,2021
TANJUNG PELEPAS,13,-3.342,11,86,Indonesia,2020,,TANJUNG PERAK,107,41.333,103,16.338,Indonesia,2021
TANJUNG PERAK,153,-0.269,172,3,Indonesia,2020,,TANJUNG PRIOK,124,28.231,114,13.605,Indonesia,2021
TANJUNG PRIOK,64,-1.521,66,31,Spain,2020,,TARRAGONA,160,15.948,157,6.501,Spain,2021
TARRAGONA,121,-0.588,134,9,Syria,2020,,TARTOUS,219,2.818,215,1.534,Syria,2021
TAURANGA,219,0.333,100,17,New Zealand,2020,,TAURANGA,325,-64.477,330,-31.494,New Zealand,2021
TEESPORT,216,0.303,238,-9,England,2020,,TEESPORT,257,-6.418,250,-2.064,England,2021
TEMA,261,0.782,312,-40,Ghana,2020,,TEMA,354,-160.565,353,-67.093,Ghana,2021
TEMA,354,-160.565,353,-67.093,Greece,2020,,THESSALONIKI,331,-71.418,327,-29.655,Greece,2021
THESSALONIKI,284,1.229,284,-22,China,2020,,TIANJIN,27,109.448,26,51.441,China,2021
TIANJIN,218,0.31,20,64,New Zealand,2020,,TIMARU,310,-37.693,314,-21.135,New Zealand,2021
TIMARU,317,2.225,304,-32,Nigeria,2020,,TIN CAN ISLAND,339,-98.354,334,-38.451,Nigeria,2021
TIN CAN ISLAND,343,4.789,344,-118,Madagascar,2020,,TOAMASINA,279,-16.113,280,-7.109,Madagascar,2021
TOAMASINA,227,0.433,219,-5,Japan,2020,,TOKYO,56,74.453,51,32.543,Japan,2021
TOKYO,35,-2.418,54,38,Japan,2020,,TOMAKOMAI,239,-1.381,237,-0.448,Japan,2021
TOMAKOMAI,205,0.194,204,-2,Italy,2020,,TRAPANI,213,3.98,209,1.804,Italy,2021
TRIESTE,212,0.241,264,-16,Italy,2020,,TRIESTE,326,-64.659,338,-40.42,Italy,2021
TRIPOLI (LEBANON),66,-1.497,76,27,Lebanon,2020,,TRIPOLI (LEBANON),87,47.491,89,19.531,Lebanon,2021
TUTICORIN,130,-0.469,139,8,Colombia,2020,,TURBO,267,-11.329,277,-6.623,Colombia,2021
ULSAN,98,-0.811,175,2,Iraq,2020,,UMM QASR,150,17.973,136,8.849,Iraq's,2021
UMM QASR,233,0.452,294,-27,Spain,2020,,VALENCIA,135,23.809,180,4.685,Spain,2021
VALENCIA,283,1.211,308,-34,Chile,2020,,VALPARAISO,108,40.314,113,14.494,Chile,2021
VALPARAISO,222,0.365,102,16,Canada,2020,,VANCOUVER (CANADA),368,-573.524,368,-245.879,Canada,2021
VANCOUVER (CANADA),237,0.499,303,-31,Bulgaria,2020,,VARNA,225,1.502,248,-1.584,Bulgaria,2021
VANCOUVER (CANADA),368,-573.524,368,-245.879,Italy,2020,,VENICE,235,-0.39,230,0.147,Italy,2021
VARNA,196,0.094,213,-4,Mexico,2020,,VERACRUZ,104,43.117,85,20.014,Mexico,2021
VENICE,274,1.042,295,-27,Spain,2020,,VIGO,149,18.234,138,8.62,Spain,2021
VERACRUZ,158,-0.219,97,18,Brazil,2020,,VILA DO CONDE,244,-2.095,245,-0.934,Brazil,2021
VIGO,156,-0.233,159,5,India,2020,,VISAKHAPATNAM,98,44.483,97,17.16,India,2021
VILA DO CONDE,183,0,241,-9,Brazil,2020,,VITÓRIA,217,3.264,214,1.535,Brazil,2021
VITORIA,183,0,218,-5,Russia,2020,,VLADIVOSTOK,330,-69.773,326,-29.594,Russia,2021
VLADIVOSTOK,202,0.182,240,-9,Vietnam,2020,,VUNG TAU,37,100.873,271,-5.658,Vietnam,2021
VOSTOCHNY,204,0.192,255,-14,Namibia,2020,,WALVIS BAY,328,-68.372,332,-34.889,Namibia,2021
WALVIS BAY,307,1.819,336,-80,New Zealand,2020,,WELLINGTON,151,17.761,192,3.722,New Zealand,2021
WELLINGTON,176,-0.049,141,8,Germany,2020,,WILHELMSHAVEN,233,-0.02,204,2.236,Germany,2021
WILHELMSHAVEN,119,-0.598,52,39,USA,2020,,WILMINGTON (NORTH CAROLINA),49,84.187,57,29.111,United States of America,2021
"WILMINGTON (NORTH CAROLINA, USA)",155,-0.237,67,30,China,2020,,XIAMEN,45,92.212,40,39.737,China,2021
XIAMEN,62,-1.541,26,58,Myanmar,2020,,YANGON,304,-34.103,307,-16.59,Myanmar,2021
YANGSHAN,28,-2.733,10,87,China,2020,,YANGSHAN,4,183.455,3,83.522,China,2021
YANTIAN,29,-2.724,17,73,China,2020,,YANTIAN,266,-10.23,270,-5.466,China,2021
YARIMCA,68,-1.393,58,33,Turkey,2020,,YARIMCA,28,106.663,30,48.489,Turkey,2021
YEOSU,22,-2.831,40,48,South Korea,2020,,YEOSU,33,102.674,29,48.823,South Korea,2021
YOKKAICHI,107,-0.692,81,26,Japan,2020,,YOKKAICHI,91,46.268,101,16.864,Japan,2021
YOKOHAMA,1,-5.995,1,130,Japan,2020,,YOKOHAMA,10,159.234,12,66.451,Japan,2021
YUZHNY,198,0.105,170,3,Ukraine,2020,,YUZHNY,317,-52.207,310,-19.1,Ukraine,2021
ZEEBRUGGE,87,-0.988,225,-6,Belgium,2020,,ZEEBRUGGE,278,-15.389,291,-11.15,Belgium,2021
ZHOUSHAN,20,-2.963,8,88,China,2020,,ZHOUSHAN,136,22.522,228,0.225,China,2021
